Id,MSSubClass,LotArea,BldgType,OverallCond,TotalBsmtSF,SalePrice
162,20,12182,1Fam,5,1541,220000
163,45,5500,1Fam,6,882,103200
164,40,5400,1Fam,7,1149,152000
165,190,10106,2fmCon,7,644,127500
166,20,10708,1Fam,5,1617,190000
167,60,10562,1Fam,5,1582,325624
168,60,8244,1Fam,5,840,183500
169,20,16669,1Fam,6,1686,228000
170,50,12358,1Fam,6,720,128500
171,20,31770,1Fam,5,1080,215000
172,160,5306,TwnhsE,7,1064,239000
173,20,10197,1Fam,5,1362,163000
174,20,12416,1Fam,5,1606,184000
175,20,12615,1Fam,7,1202,243000
176,60,10029,1Fam,5,1151,211000
177,50,13650,1Fam,5,1052,172500
178,20,17423,1Fam,5,2216,501837
179,30,8520,1Fam,6,968,100000
180,160,2117,Twnhs,5,756,177000
181,70,7588,1Fam,6,793,200100
182,20,9060,1Fam,6,0,120000
183,50,11426,1Fam,5,1362,200000
184,50,7438,1Fam,8,504,127000
185,75,22950,1Fam,9,1107,475000
186,80,9947,1Fam,5,1188,173000
187,50,10410,1Fam,7,660,135000
188,90,7018,Duplex,5,1086,153337
189,120,4923,TwnhsE,5,1593,286000
190,70,10570,1Fam,8,853,315000
191,60,7472,1Fam,9,725,184000
192,20,9017,1Fam,5,1431,192000
193,160,2522,Twnhs,5,970,130000
194,20,7180,1Fam,7,864,127000
195,160,2280,Twnhs,6,855,148500
196,20,9416,1Fam,5,1726,311872
197,75,25419,1Fam,4,1360,235000
198,75,5520,1Fam,6,755,104000
199,20,9591,1Fam,5,1713,274900
200,20,8546,1Fam,5,1121,140000
201,20,10125,1Fam,6,1196,171500
202,50,7000,1Fam,6,617,112000
203,120,4438,TwnhsE,5,848,149000
204,50,3500,1Fam,7,720,110000
205,20,11851,1Fam,5,1424,180500
206,20,13673,1Fam,5,1140,143900
207,20,12493,1Fam,5,1100,141000
208,60,14364,1Fam,5,1157,277000
209,20,8250,1Fam,7,1092,145000
210,30,5604,1Fam,6,864,98000
211,20,10420,1Fam,5,1212,186000
212,60,8640,1Fam,5,900,252678
213,20,13568,1Fam,5,990,156000
214,60,10900,1Fam,7,689,161750
215,20,10011,1Fam,6,1070,134450
216,20,8450,1Fam,5,1436,210000
217,70,9906,1Fam,4,686,107000
218,50,15660,1Fam,9,798,311500
219,120,3010,TwnhsE,5,1248,167240
220,20,8990,1Fam,5,1498,204900
221,60,8068,1Fam,5,1010,200000
222,60,11475,1Fam,6,713,179900
223,20,10500,1Fam,6,864,97000
224,20,13472,1Fam,5,2392,386250
225,160,1680,Twnhs,5,630,112000
226,60,9950,1Fam,5,1203,290000
227,160,1869,Twnhs,6,483,106000
228,20,8521,1Fam,5,912,125000
229,120,3182,TwnhsE,5,1373,192500
230,20,8760,1Fam,6,1194,148000
231,60,15138,1Fam,5,1462,403000
232,160,1680,Twnhs,5,483,94500
233,20,10650,1Fam,6,894,128200
234,60,7851,1Fam,5,860,216500
235,160,1680,TwnhsE,3,483,89500
236,20,8773,1Fam,5,1414,185500
237,60,9453,1Fam,7,996,194500
238,20,12030,1Fam,5,1694,318000
239,50,8741,1Fam,4,735,113000
240,20,9000,1Fam,5,1566,262500
241,30,3880,1Fam,9,686,110500
242,50,5000,1Fam,4,540,79000
243,160,10762,TwnhsE,6,626,120000
244,60,8880,1Fam,5,948,205000
245,20,10400,1Fam,5,1845,241500
246,190,9142,2fmCon,8,1020,137000
247,20,11310,1Fam,5,1367,140000
248,60,11317,1Fam,5,840,180000
249,50,159000,1Fam,7,1444,277000
250,30,5350,1Fam,2,728,76500
251,120,4750,TwnhsE,5,1573,235000
252,60,8366,1Fam,5,798,173000
253,80,9350,1Fam,7,1302,158000
254,20,8400,1Fam,6,1314,145000
255,60,8738,1Fam,5,975,230000
256,60,8791,1Fam,5,864,207500
257,20,8814,1Fam,5,1604,220000
258,60,12435,1Fam,5,963,231500
259,20,12702,1Fam,5,0,97000
260,80,19296,1Fam,5,1362,176000
261,60,9588,1Fam,5,1482,276000
262,80,8471,1Fam,7,506,151000
263,50,5500,1Fam,7,926,130000
264,30,5232,1Fam,5,680,73000
265,20,12090,1Fam,6,1422,175500
266,60,11207,1Fam,5,802,185000
267,75,8400,1Fam,8,720,179500
268,30,6900,1Fam,6,740,120500
269,20,7917,1Fam,7,1143,148000
270,60,10728,1Fam,5,1095,266000
271,20,39104,1Fam,7,1385,241500
272,60,11764,1Fam,7,1152,290000
273,20,9600,1Fam,6,1240,139000
274,20,8314,1Fam,7,816,124500
275,50,7264,1Fam,7,952,205000
276,20,9196,1Fam,5,1560,201000
277,20,19138,1Fam,5,864,141000
278,20,14450,1Fam,5,2121,415298
279,60,10005,1Fam,5,1160,192000
280,60,11287,1Fam,6,807,228500
281,20,7200,1Fam,5,1262,185000
282,120,5063,Twnhs,5,1314,207500
283,20,9612,1Fam,5,1468,244600
284,120,8012,TwnhsE,5,1575,179200
285,160,4251,TwnhsE,5,625,164700
286,50,9786,1Fam,7,912,159000
287,20,8125,1Fam,4,858,88000
288,20,9819,1Fam,5,882,122000
289,70,8730,1Fam,7,698,153575
290,60,15611,1Fam,5,1079,233230
291,190,5687,2fmCon,6,780,135900
292,50,11409,1Fam,4,768,131000
293,60,16659,1Fam,7,795,235000
294,20,9600,1Fam,5,1416,167000
295,80,7937,1Fam,6,1003,142500
296,50,13710,1Fam,5,910,152000
297,60,7399,1Fam,5,975,239000
298,60,11700,1Fam,6,702,175000
299,20,14000,1Fam,8,1092,158500
300,190,15750,2fmCon,5,1165,157000
301,60,16226,1Fam,5,1028,267000
302,20,13704,1Fam,5,1541,205000
303,20,9800,1Fam,7,894,149900
304,75,18386,1Fam,9,1470,295000
305,20,10386,1Fam,5,2000,305900
306,60,13474,1Fam,5,700,225000
307,50,7920,1Fam,7,319,89500
308,30,12342,1Fam,5,861,82500
309,20,12378,1Fam,5,1896,360000
310,60,7685,1Fam,5,697,165600
311,20,8000,1Fam,6,972,132000
312,190,7800,2fmCon,7,793,119900
313,20,215245,1Fam,5,2136,375000
314,70,9600,1Fam,7,728,178000
315,60,7795,1Fam,5,716,188500
316,60,13005,1Fam,7,845,260000
317,60,9000,1Fam,5,1088,270000
318,60,9900,1Fam,5,1347,260000
319,80,14115,1Fam,5,1372,187500
320,60,16259,1Fam,5,1249,342643
321,60,12099,1Fam,5,1136,354000
322,60,10380,1Fam,5,1502,301000
323,20,5820,1Fam,8,1162,126175
324,80,11275,1Fam,7,710,242000
325,45,5000,1Fam,6,720,87000
326,120,10846,TwnhsE,5,1719,324000
327,20,11600,1Fam,5,1383,145250
328,75,11888,1Fam,6,844,214500
329,70,6402,1Fam,5,596,78000
330,90,10624,Duplex,4,1728,119000
331,20,8176,1Fam,6,1056,139000
332,20,10655,1Fam,5,3206,284000
333,120,8198,TwnhsE,5,1358,207000
334,60,9042,1Fam,5,943,192000
335,190,164660,2fmCon,6,1499,228950
336,20,14157,1Fam,5,1922,377426
337,20,9135,1Fam,5,1536,214000
338,20,14145,1Fam,7,1208,202500
339,20,12400,1Fam,7,1215,155000
340,60,14191,1Fam,5,967,202900
341,20,8400,1Fam,4,721,82000
342,90,8544,Duplex,4,0,87500
343,120,8849,TwnhsE,5,1684,266000
344,160,2592,TwnhsE,3,536,85000
345,50,6435,1Fam,5,972,140200
346,20,12772,1Fam,8,958,151500
347,20,17600,1Fam,5,1478,157500
348,160,2448,Twnhs,5,764,154000
349,60,20431,1Fam,5,1848,437154
350,120,7820,TwnhsE,5,1869,318061
351,120,5271,1Fam,5,1453,190000
352,50,9084,1Fam,6,616,95000
353,30,8520,1Fam,8,624,105900
354,50,8400,1Fam,5,940,140000
355,20,11249,1Fam,5,1200,177500
356,20,9248,1Fam,6,1158,173000
357,120,4224,TwnhsE,5,1142,134000
358,80,6930,1Fam,4,1062,130000
359,60,12011,1Fam,5,1086,280000
360,85,7540,1Fam,6,888,156000
361,50,9144,1Fam,5,883,145000
362,85,7301,1Fam,5,0,198500
363,160,1680,Twnhs,8,483,118000
364,60,18800,1Fam,5,796,190000
365,70,10690,1Fam,7,672,147000
366,20,9500,1Fam,5,1394,159000
367,80,9150,1Fam,5,1099,165000
368,20,7800,1Fam,6,1268,132000
369,20,9830,1Fam,7,1063,162000
370,60,8121,1Fam,5,953,172400
371,50,17120,1Fam,4,0,134432
372,120,7175,TwnhsE,5,744,125000
373,20,10634,1Fam,6,608,123000
374,60,8200,1Fam,5,847,219500
375,30,10020,1Fam,1,683,61000
376,85,8846,1Fam,5,870,148000
377,60,11143,1Fam,5,1580,340000
378,20,11394,1Fam,2,1856,394432
379,60,8123,1Fam,5,982,179000
380,50,5000,1Fam,6,1026,127000
381,20,7200,1Fam,5,1293,187750
382,60,9245,1Fam,5,939,213500
383,45,9000,1Fam,3,784,76000
384,60,53107,1Fam,5,1580,240000
385,120,3182,TwnhsE,5,1256,192000
386,50,8410,1Fam,3,658,81000
387,80,7200,1Fam,6,1041,125000
388,20,9382,1Fam,5,1468,191000
389,60,12474,1Fam,5,1682,426000
390,50,8405,1Fam,8,861,119000
391,60,12209,1Fam,5,804,215000
392,20,8339,1Fam,7,0,106500
393,30,7446,1Fam,5,788,100000
394,50,10134,1Fam,6,735,109000
395,20,9571,1Fam,6,1144,129000
396,20,7200,1Fam,5,894,123000
397,60,7590,1Fam,5,864,169500
398,30,8967,1Fam,2,961,67000
399,60,8125,1Fam,5,1092,241000
400,120,14963,TwnhsE,5,1260,245500
401,20,8767,1Fam,5,1310,164990
402,30,10200,1Fam,8,672,108000
403,60,12090,1Fam,5,1141,258000
404,60,10364,1Fam,5,806,168000
405,20,9991,1Fam,4,1281,150000
406,50,10480,1Fam,5,1064,115000
407,70,15576,1Fam,7,840,177000
408,60,14154,1Fam,5,1063,280000
409,60,10800,1Fam,5,1034,339750
410,20,9571,1Fam,3,1276,60000
411,190,34650,2fmCon,5,1056,145000
412,20,4403,1Fam,5,1470,222000
413,30,8960,1Fam,6,1008,115000
414,60,11228,1Fam,5,1080,228000
415,20,8899,1Fam,5,1340,181134
416,60,7844,1Fam,7,672,149500
417,70,22420,1Fam,6,1370,239000
418,50,8160,1Fam,6,756,126000
419,20,8450,1Fam,6,1056,142000
420,90,7060,Duplex,5,1344,206300
421,20,16635,1Fam,7,1602,215000
422,20,21750,1Fam,5,988,113000
423,60,9200,1Fam,5,1470,315000
424,20,9000,1Fam,5,1196,139000
425,60,3378,1Fam,8,651,135000
426,80,12800,1Fam,5,1518,275000
427,20,8593,1Fam,6,907,109008
428,20,6762,1Fam,5,1208,195400
429,20,11457,1Fam,5,1392,175000
430,160,1680,Twnhs,5,483,85400
431,50,5586,1Fam,7,901,79900
432,160,1920,TwnhsE,5,765,122500
433,60,10839,1Fam,5,926,181000
434,180,1890,Twnhs,7,630,81000
435,60,10667,1Fam,6,799,212000
436,50,4400,1Fam,8,648,116000
437,45,6000,1Fam,7,884,119000
438,30,4280,1Fam,6,440,90350
439,50,12354,1Fam,8,684,110000
440,20,15431,1Fam,5,3094,555000
441,90,12108,Duplex,4,1440,118000
442,50,6240,1Fam,7,1078,162900
443,120,3922,TwnhsE,5,1258,172500
444,60,8750,1Fam,5,915,210000
445,20,9855,1Fam,5,1436,127500
446,20,16492,1Fam,6,1517,190000
447,60,11214,1Fam,5,930,199900
448,50,8600,1Fam,6,780,119500
449,50,6000,1Fam,7,649,120000
450,30,5684,1Fam,8,813,110000
451,20,70761,1Fam,5,1533,280000
452,60,9303,1Fam,5,872,204000
453,60,9000,1Fam,5,768,210000
454,90,9297,Duplex,5,1728,188000
455,20,9600,1Fam,6,1242,175500
456,70,4571,1Fam,5,624,98000
457,20,53227,1Fam,6,1364,256000
458,70,5100,1Fam,7,588,161000
459,50,7015,1Fam,4,709,110000
460,60,8004,1Fam,5,832,263435
461,70,7200,1Fam,9,560,155000
462,20,8281,1Fam,5,864,62383
463,70,11988,1Fam,7,715,188700
464,20,8430,1Fam,5,1040,124000
465,120,3072,TwnhsE,5,1375,178740
466,20,10628,1Fam,5,1277,167000
467,70,9480,1Fam,7,728,146500
468,20,11428,1Fam,5,1626,250000
469,60,9291,1Fam,5,832,187000
470,120,6820,TwnhsE,5,1488,212000
471,60,11952,1Fam,6,808,190000
472,180,3675,TwnhsE,5,547,148000
473,20,14977,1Fam,5,1976,440000
474,120,5330,TwnhsE,5,1494,251000
475,20,8480,1Fam,6,970,132500
476,20,13125,1Fam,5,1478,208900
477,60,13693,1Fam,5,2153,380000
478,20,10637,1Fam,5,1705,297000
479,30,5925,1Fam,7,907,89471
480,20,16033,1Fam,5,1833,326000
481,20,11846,1Fam,5,1792,374000
482,70,2500,1Fam,8,910,155000
483,120,4500,Twnhs,5,1216,164000
484,20,7758,1Fam,7,999,132500
485,20,9600,1Fam,7,1113,147000
486,20,10289,1Fam,7,1073,156000
487,20,12243,1Fam,6,1484,175000
488,190,10800,2fmCon,4,954,160000
489,180,1526,Twnhs,8,630,86000
490,160,2665,TwnhsE,6,264,115000
491,50,9490,1Fam,7,806,133000
492,60,15578,1Fam,5,728,172785
493,20,7931,1Fam,6,1269,155000
494,30,5784,1Fam,8,190,91300
495,30,7879,1Fam,5,720,34900
496,20,12692,1Fam,5,3200,430000
497,50,9120,1Fam,6,1026,184000
498,20,7800,1Fam,7,864,130000
499,20,7535,1Fam,7,912,120000
500,160,1890,Twnhs,5,672,113000
501,60,9803,1Fam,5,866,226700
502,20,9170,1Fam,7,1214,140000
503,20,15602,1Fam,8,1501,289000
504,160,2308,TwnhsE,5,855,147000
505,90,7596,Duplex,5,960,124500
506,60,9554,1Fam,5,777,215000
507,20,7862,1Fam,5,1218,208300
508,70,9600,1Fam,9,689,161000
509,20,9600,1Fam,6,1041,124500
510,20,14559,1Fam,7,1008,164900
511,120,6792,TwnhsE,5,1368,202665
512,20,9100,1Fam,5,864,129900
513,20,9187,1Fam,5,1084,134000
514,45,10594,1Fam,5,768,96500
515,20,12220,1Fam,5,2006,402861
516,80,10448,1Fam,6,689,158000
517,60,10208,1Fam,5,1264,265000
518,60,9531,1Fam,5,794,211000
519,70,10918,1Fam,9,1276,234000
520,190,10800,2fmCon,7,0,106250
521,20,11988,1Fam,6,1244,150000
522,50,5000,1Fam,7,1004,159000
523,60,40094,1Fam,5,3138,184750
524,60,11787,1Fam,5,1379,315750
525,20,7500,1Fam,5,1257,176000
526,20,13300,1Fam,7,928,132000
527,60,14948,1Fam,5,1452,446261
528,30,9098,1Fam,7,528,86000
529,20,32668,1Fam,3,2035,200624
530,80,10200,1Fam,5,1461,175000
531,70,6155,1Fam,8,611,128000
532,20,7200,1Fam,7,0,107500
533,20,5000,1Fam,3,0,39300
534,60,9056,1Fam,5,707,178000
535,190,7000,2fmCon,7,1117,107500
536,60,8924,1Fam,5,880,188000
537,20,12735,1Fam,5,864,111250
538,20,11553,1Fam,5,1051,158000
539,20,11423,1Fam,5,1581,272000
540,20,14601,1Fam,5,1838,315000
541,60,11000,1Fam,5,969,248000
542,20,10140,1Fam,5,1650,213250
543,120,4058,TwnhsE,5,723,133000
544,60,17104,1Fam,5,654,179665
545,50,13837,1Fam,5,1204,229000
546,50,8737,1Fam,7,1065,210000
547,85,7244,1Fam,7,768,129500
548,20,8235,1Fam,7,825,125000
549,60,9375,1Fam,5,912,263000
550,120,4043,TwnhsE,6,1069,140000
551,20,6000,1Fam,6,928,112500
552,20,11146,1Fam,5,1709,255500
553,20,8777,1Fam,5,0,108000
554,60,10625,1Fam,5,998,284000
555,45,6380,1Fam,6,993,113000
556,20,14850,1Fam,5,1092,141000
557,50,11040,1Fam,6,637,108000
558,60,21872,1Fam,5,729,175000
559,120,3196,TwnhsE,5,1374,234000
560,20,11341,1Fam,6,1392,121500
561,20,10010,1Fam,5,1389,170000
562,30,13907,1Fam,6,996,108000
563,50,21780,1Fam,7,1163,185000
564,60,13346,1Fam,5,1095,268000
565,70,6858,1Fam,4,806,128000
566,60,11198,1Fam,5,1122,325000
567,20,10171,1Fam,5,1517,214000
568,50,12327,1Fam,8,1496,316600
569,90,7032,Duplex,5,943,135960
570,90,13101,Duplex,5,1728,142600
571,20,7332,1Fam,6,864,120000
572,60,13159,1Fam,5,846,224500
573,80,9967,1Fam,5,384,170000
574,80,10500,1Fam,7,372,139000
575,50,8480,1Fam,5,832,118500
576,50,6292,1Fam,7,861,145000
577,80,11777,1Fam,6,1164,164500
578,160,3604,TwnhsE,5,689,146000
579,50,12150,1Fam,5,1050,131500
580,20,14585,1Fam,6,1144,181900
581,20,12704,1Fam,5,2042,253293
582,90,11841,Duplex,5,816,118500
583,75,13500,1Fam,9,1237,325000
584,50,6120,1Fam,7,884,133000
585,20,11443,1Fam,5,1868,369900
586,30,10267,1Fam,7,816,130000
587,85,8740,1Fam,6,840,137000
588,20,25095,1Fam,8,1437,143000
589,40,9100,1Fam,6,742,79500
590,60,8320,1Fam,5,770,185900
591,60,13478,1Fam,5,1722,451950
592,20,6600,1Fam,8,816,138000
593,120,4435,TwnhsE,5,848,140000
594,20,7990,1Fam,6,924,110000
595,20,11302,1Fam,5,1814,319000
596,70,3600,1Fam,7,684,114504
597,120,3922,TwnhsE,5,1258,194201
598,20,12984,1Fam,6,1430,217500
599,160,1950,Twnhs,6,716,151000
600,60,10927,1Fam,5,1058,275000
601,50,9000,1Fam,6,780,141000
602,60,10041,1Fam,5,908,220000
603,160,3182,TwnhsE,5,600,151000
604,20,12803,1Fam,5,1494,221000
605,60,13600,1Fam,6,768,205000
606,20,12464,1Fam,5,1040,152000
607,20,7800,1Fam,8,896,225000
608,70,12168,1Fam,6,965,359100
609,20,7943,1Fam,5,1029,118500
610,60,11050,1Fam,5,1440,313000
611,80,10395,1Fam,6,1032,148000
612,60,11885,1Fam,5,1299,261500
613,20,8402,1Fam,5,1120,147000
614,180,1491,TwnhsE,6,630,75500
615,85,8800,1Fam,7,936,137500
616,60,7861,1Fam,5,783,183200
617,45,7227,1Fam,6,832,105500
618,20,11694,1Fam,5,1822,314813
619,60,12244,1Fam,5,1482,305000
620,30,8248,1Fam,3,864,67000
621,60,10800,1Fam,7,1522,240000
622,20,7064,1Fam,6,980,135000
623,160,2117,TwnhsE,5,756,168500
624,60,10400,1Fam,5,732,165150
625,20,10000,1Fam,6,1116,160000
626,20,12342,1Fam,5,978,139900
627,80,9600,1Fam,6,1156,153000
628,60,11606,1Fam,5,1040,135000
629,80,9020,1Fam,5,1248,168500
630,70,9000,1Fam,6,636,124000
631,120,4590,Twnhs,5,1554,209500
632,20,11900,1Fam,5,1386,82500
633,20,9250,1Fam,7,1056,139400
634,90,6979,Duplex,5,1056,144000
635,190,10896,2fmCon,7,1440,200000
636,30,6120,1Fam,3,264,60000
637,190,6000,2fmCon,4,811,93000
638,30,8777,1Fam,7,796,85000
639,120,3982,TwnhsE,5,1520,264561
640,120,12677,TwnhsE,5,1518,274000
641,60,7050,1Fam,5,1057,226000
642,80,13860,1Fam,7,1952,345000
643,60,10793,1Fam,5,780,152000
644,20,9187,1Fam,5,1766,370878
645,20,10530,1Fam,5,981,143250
646,20,7200,1Fam,5,0,98300
647,20,10452,1Fam,5,1094,155000
648,60,7700,1Fam,5,756,155000
649,180,1936,Twnhs,6,630,84500
650,60,8125,1Fam,6,813,205950
651,70,9084,1Fam,5,755,108000
652,60,8750,1Fam,5,880,191000
653,50,10320,1Fam,7,756,135000
654,20,10437,1Fam,6,2109,350000
655,160,1680,Twnhs,5,525,88000
656,20,10007,1Fam,7,1053,145500
657,70,7200,1Fam,6,776,149000
658,50,17503,1Fam,5,912,97500
659,20,9937,1Fam,7,1486,167000
660,60,12384,1Fam,7,793,197900
661,60,46589,1Fam,7,1629,402000
662,20,13560,1Fam,3,1392,110000
663,85,10012,1Fam,5,1138,137500
664,20,20896,1Fam,5,2077,423000
665,60,11194,1Fam,5,1406,230500
666,60,18450,1Fam,5,1021,129000
667,20,8125,1Fam,5,1408,193500
668,20,14175,1Fam,6,1188,168000
669,30,11600,1Fam,5,700,137500
670,60,8633,1Fam,5,738,173500
671,70,6629,1Fam,6,672,103600
672,20,11250,1Fam,6,1208,165000
673,20,14442,1Fam,7,1477,257500
674,20,9200,1Fam,6,1136,140000
675,160,2289,Twnhs,6,855,148500
676,70,9600,1Fam,2,1095,87000
677,30,9022,1Fam,8,768,109500
678,20,11844,1Fam,5,2046,372500
679,20,9945,1Fam,5,988,128500
680,120,8012,TwnhsE,5,923,143000
681,50,4500,1Fam,5,793,159434
682,120,2887,1Fam,5,1291,173000
683,20,11248,1Fam,5,1626,285000
684,60,16770,1Fam,5,1195,221000
685,160,5062,TwnhsE,5,1190,207500
686,60,10207,1Fam,6,874,227875
687,160,5105,TwnhsE,5,551,148800
688,20,8089,1Fam,6,1419,392000
689,120,7577,TwnhsE,5,1362,194700
690,120,4426,TwnhsE,5,848,141000
691,60,21535,1Fam,6,2444,755000
692,60,26178,1Fam,5,1210,335000
693,30,5400,1Fam,6,1073,108480
694,50,6120,1Fam,6,927,141500
695,20,13811,1Fam,6,1112,176000
696,30,6000,1Fam,7,616,89000
697,20,6420,1Fam,7,980,123500
698,20,8450,1Fam,8,894,138500
699,120,4282,TwnhsE,5,1391,196000
700,20,14331,1Fam,5,1800,312500
701,20,9600,1Fam,5,1164,140000
702,60,12438,1Fam,5,1234,361919
703,190,7630,2fmCon,9,360,140000
704,20,8400,1Fam,5,1473,213000
